"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 10 21:13:10 GMT 2022","Sat Dec 10 21:13:14 GMT 2022","3277","ui_tests","test_cases_page","TestCasesPage","","","test_case_page[firefox-5-locator4]","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Sat Dec 10 21:16:07 GMT 2022","Sat Dec 10 21:16:11 GMT 2022","4110","ui_tests","test_form_from_main_page","TestMainPageForm","","","test_negative_form_data[firefox-negative_data_case3]","User is scrolling to the bottom and sends wrong data"
"passed","Sat Dec 10 21:16:26 GMT 2022","Sat Dec 10 21:16:29 GMT 2022","3529","ui_tests","test_main_page","TestMainPage","","","test_link_names[firefox-about-us-locator1]","
        user can go to all top links from the main page
        "
"broken","Sat Dec 10 21:11:48 GMT 2022","Sat Dec 10 21:11:50 GMT 2022","2594","ui_tests","test_cases_page","TestCasesPage","","","test_case_page[chrome-5-locator4]","
        test checks availability of each case page(doesn't check content!)
        "
"broken","Sat Dec 10 21:12:20 GMT 2022","Sat Dec 10 21:12:25 GMT 2022","4893","ui_tests","test_form_from_main_page","TestMainPageForm","","","test_positive_form_data[chrome]","User is scrolling to the bottom and sends correct data"
"passed","Sat Dec 10 21:16:12 GMT 2022","Sat Dec 10 21:16:15 GMT 2022","2797","ui_tests","test_main_page","TestMainPage","","","test_link_names[chrome--locator2]","
        user can go to all top links from the main page
        "
"broken","Sat Dec 10 21:13:05 GMT 2022","Sat Dec 10 21:13:10 GMT 2022","4915","ui_tests","test_form_from_main_page","TestMainPageForm","","","test_negative_form_data[chrome-negative_data_case0]","User is scrolling to the bottom and sends wrong data"
"broken","Sat Dec 10 21:16:37 GMT 2022","Sat Dec 10 21:16:37 GMT 2022","0","ui_tests","test_main_page","TestMainPage","","","test_link_names[firefox-contacts-locator5]","
        user can go to all top links from the main page
        "
"broken","Sat Dec 10 21:16:33 GMT 2022","Sat Dec 10 21:16:33 GMT 2022","0","ui_tests","test_main_page","TestMainPage","","","test_link_names[firefox--locator2]","
        user can go to all top links from the main page
        "
"broken","Sat Dec 10 21:11:04 GMT 2022","Sat Dec 10 21:11:06 GMT 2022","2346","ui_tests","test_cases_page","TestCasesPage","","","test_case_page[chrome-3-locator2]","
        test checks availability of each case page(doesn't check content!)
        "
