"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Dec 10 19:31:21 GMT 2022","Sat Dec 10 19:31:21 GMT 2022","0","ui_tests","test_form_from_main_page","TestMainPageForm","","","test_negative_form_data[firefox-negative_data_case2]","User is scrolling to the bottom and sends wrong data"
"broken","Sat Dec 10 19:31:27 GMT 2022","Sat Dec 10 19:31:27 GMT 2022","0","ui_tests","test_form_from_main_page","TestMainPageForm","","","test_negative_form_data[chrome-negative_data_case3]","User is scrolling to the bottom and sends wrong data"
"skipped","Sat Dec 10 19:31:05 GMT 2022","Sat Dec 10 19:31:05 GMT 2022","0","ui_tests","test_cases_page","TestCasesPage","","","test_case_page[firefox-8-locator7]","
        test checks availability of each case page(doesn't check content!)
        "
"skipped","Sat Dec 10 19:30:55 GMT 2022","Sat Dec 10 19:30:55 GMT 2022","0","ui_tests","test_cases_page","TestCasesPage","","","test_case_page[chrome-3-locator2]","
        test checks availability of each case page(doesn't check content!)
        "
"broken","Sat Dec 10 19:32:03 GMT 2022","Sat Dec 10 19:32:03 GMT 2022","0","ui_tests","test_main_page","TestMainPage","","","test_bottom_elements_are_active[firefox-policy-locator0]","
        user can go to all bottom links from the main page
        "
"broken","Sat Dec 10 19:31:32 GMT 2022","Sat Dec 10 19:31:32 GMT 2022","0","ui_tests","test_main_page","TestMainPage","","","test_link_names[chrome--locator2]","
        user can go to all top links from the main page
        "
"skipped","Sat Dec 10 19:30:57 GMT 2022","Sat Dec 10 19:30:57 GMT 2022","0","ui_tests","test_cases_page","TestCasesPage","","","test_case_page[firefox-1-locator0]","
        test checks availability of each case page(doesn't check content!)
        "
"skipped","Sat Dec 10 19:30:57 GMT 2022","Sat Dec 10 19:30:57 GMT 2022","0","ui_tests","test_cases_page","TestCasesPage","","","test_case_page[chrome-5-locator4]","
        test checks availability of each case page(doesn't check content!)
        "
"broken","Sat Dec 10 19:31:12 GMT 2022","Sat Dec 10 19:31:12 GMT 2022","0","ui_tests","test_form_from_main_page","TestMainPageForm","","","test_negative_form_data[chrome-negative_data_case0]","User is scrolling to the bottom and sends wrong data"
"skipped","Sat Dec 10 19:30:55 GMT 2022","Sat Dec 10 19:30:55 GMT 2022","0","ui_tests","test_cases_page","TestCasesPage","","","test_case_page[chrome-8-locator7]","
        test checks availability of each case page(doesn't check content!)
        "
"skipped","Sat Dec 10 19:30:55 GMT 2022","Sat Dec 10 19:30:55 GMT 2022","0","ui_tests","test_cases_page","TestCasesPage","","","test_case_page[chrome-7-locator6]","
        test checks availability of each case page(doesn't check content!)
        "
"broken","Sat Dec 10 19:31:22 GMT 2022","Sat Dec 10 19:31:22 GMT 2022","0","ui_tests","test_form_from_main_page","TestMainPageForm","","","test_negative_form_data[chrome-negative_data_case2]","User is scrolling to the bottom and sends wrong data"
"skipped","Sat Dec 10 19:31:04 GMT 2022","Sat Dec 10 19:31:04 GMT 2022","0","ui_tests","test_cases_page","TestCasesPage","","","test_case_page[firefox-7-locator6]","
        test checks availability of each case page(doesn't check content!)
        "
"skipped","Sat Dec 10 19:30:56 GMT 2022","Sat Dec 10 19:30:56 GMT 2022","0","ui_tests","test_cases_page","TestCasesPage","","","test_case_page[chrome-4-locator3]","
        test checks availability of each case page(doesn't check content!)
        "
"broken","Sat Dec 10 19:31:59 GMT 2022","Sat Dec 10 19:31:59 GMT 2022","0","ui_tests","test_main_page","TestMainPage","","","test_bottom_elements_are_active[chrome-policy-locator0]","
        user can go to all bottom links from the main page
        "
"broken","Sat Dec 10 19:31:16 GMT 2022","Sat Dec 10 19:31:16 GMT 2022","0","ui_tests","test_form_from_main_page","TestMainPageForm","","","test_negative_form_data[firefox-negative_data_case1]","User is scrolling to the bottom and sends wrong data"
"broken","Sat Dec 10 19:31:26 GMT 2022","Sat Dec 10 19:31:26 GMT 2022","0","ui_tests","test_form_from_main_page","TestMainPageForm","","","test_negative_form_data[firefox-negative_data_case3]","User is scrolling to the bottom and sends wrong data"
"skipped","Sat Dec 10 19:30:56 GMT 2022","Sat Dec 10 19:30:56 GMT 2022","0","ui_tests","test_cases_page","TestCasesPage","","","test_case_page[chrome-9-locator8]","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Sat Dec 10 19:31:26 GMT 2022","Sat Dec 10 19:31:27 GMT 2022","1158","ui_tests","test_main_page","TestMainPage","","","test_main_page_response","
        server is alive
        "
"broken","Sat Dec 10 19:32:00 GMT 2022","Sat Dec 10 19:32:00 GMT 2022","0","ui_tests","test_main_page","TestMainPage","","","test_bottom_elements_are_active[chrome-vk.com/fojin-locator1]","
        user can go to all bottom links from the main page
        "
"broken","Sat Dec 10 19:31:07 GMT 2022","Sat Dec 10 19:31:07 GMT 2022","0","ui_tests","test_form_from_main_page","TestMainPageForm","","","test_positive_form_data[firefox]","User is scrolling to the bottom and sends correct data"
"broken","Sat Dec 10 19:31:46 GMT 2022","Sat Dec 10 19:31:46 GMT 2022","0","ui_tests","test_main_page","TestMainPage","","","test_link_names[firefox--locator0]","
        user can go to all top links from the main page
        "
"broken","Sat Dec 10 19:32:07 GMT 2022","Sat Dec 10 19:32:07 GMT 2022","0","ui_tests","test_main_page","TestMainPage","","","test_bottom_elements_are_active[firefox-t.me/fojin_tech-locator2]","
        user can go to all bottom links from the main page
        "
"skipped","Sat Dec 10 19:31:04 GMT 2022","Sat Dec 10 19:31:04 GMT 2022","0","ui_tests","test_cases_page","TestCasesPage","","","test_case_page[firefox-6-locator5]","
        test checks availability of each case page(doesn't check content!)
        "
