"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 15 14:00:16 GMT 2022","Thu Dec 15 14:00:20 GMT 2022","3920","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""vk.com/fojin"" link","
        user can go to all bottom links from the main page
        "
"passed","Thu Dec 15 13:57:27 GMT 2022","Thu Dec 15 13:57:30 GMT 2022","3153","ui_tests","test_cases_page","TestCasesPage","","","User can see the 2 case","
        test checks availability of each case page(doesn't check content!)
        "
"broken","Thu Dec 15 13:57:39 GMT 2022","Thu Dec 15 13:57:43 GMT 2022","3446","ui_tests","test_cases_page","TestCasesPage","","","User can see the 5 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Thu Dec 15 14:00:21 GMT 2022","Thu Dec 15 14:00:24 GMT 2022","2717","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""policy"" link","
        user can go to all bottom links from the main page
        "
"passed","Thu Dec 15 13:59:38 GMT 2022","Thu Dec 15 13:59:42 GMT 2022","3852","ui_tests","test_main_page","TestMainPage","","","User can see and go to the """" link","
        user can go to all top links from the main page
        "
"passed","Thu Dec 15 14:00:08 GMT 2022","Thu Dec 15 14:00:13 GMT 2022","4624","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""t.me/fojin_tech"" link","
        user can go to all bottom links from the main page
        "
"passed","Thu Dec 15 13:58:29 GMT 2022","Thu Dec 15 13:58:33 GMT 2022","4305","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"passed","Thu Dec 15 13:58:06 GMT 2022","Thu Dec 15 13:58:14 GMT 2022","8018","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends a correct data into the form","User is scrolling to the bottom and sends correct data"
"passed","Thu Dec 15 13:58:34 GMT 2022","Thu Dec 15 13:58:38 GMT 2022","3836","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"passed","Thu Dec 15 13:59:31 GMT 2022","Thu Dec 15 13:59:35 GMT 2022","3941","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""contacts"" link","
        user can go to all top links from the main page
        "
"passed","Thu Dec 15 13:59:43 GMT 2022","Thu Dec 15 13:59:47 GMT 2022","3939","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""cases"" link","
        user can go to all top links from the main page
        "
"passed","Thu Dec 15 14:00:01 GMT 2022","Thu Dec 15 14:00:04 GMT 2022","2467","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""contacts"" link","
        user can go to all top links from the main page
        "
"failed","Thu Dec 15 13:57:56 GMT 2022","Thu Dec 15 13:58:04 GMT 2022","7811","ui_tests","test_cases_page","TestCasesPage","","","User can see the 1 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Thu Dec 15 13:59:19 GMT 2022","Thu Dec 15 13:59:20 GMT 2022","673","ui_tests","test_main_page","TestMainPage","","","The server is alive","
        server is alive
        "
"passed","Thu Dec 15 13:58:44 GMT 2022","Thu Dec 15 13:58:48 GMT 2022","3984","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"passed","Thu Dec 15 13:59:26 GMT 2022","Thu Dec 15 13:59:30 GMT 2022","3859","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""about-us"" link","
        user can go to all top links from the main page
        "
"failed","Thu Dec 15 13:59:12 GMT 2022","Thu Dec 15 13:59:20 GMT 2022","7693","ui_tests","test_cases_page","TestCasesPage","","","User can see the 8 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Thu Dec 15 13:59:00 GMT 2022","Thu Dec 15 13:59:03 GMT 2022","3567","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"passed","Thu Dec 15 13:57:31 GMT 2022","Thu Dec 15 13:57:34 GMT 2022","3080","ui_tests","test_cases_page","TestCasesPage","","","User can see the 8 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Thu Dec 15 13:57:21 GMT 2022","Thu Dec 15 13:57:26 GMT 2022","4539","ui_tests","test_cases_page","TestCasesPage","","","User can see the 6 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Thu Dec 15 13:59:51 GMT 2022","Thu Dec 15 13:59:53 GMT 2022","2385","ui_tests","test_main_page","TestMainPage","","","User can see and go to the """" link","
        user can go to all top links from the main page
        "
"passed","Thu Dec 15 14:00:06 GMT 2022","Thu Dec 15 14:00:17 GMT 2022","11143","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""vk.com/fojin"" link","
        user can go to all bottom links from the main page
        "
